rank,asset,weight,1d_weight,4h_weight,1h_weight,15m_weight,1m_weight
221,TAKE,0.0005405666871397628,0,0,0.0012204950870559458,0.0009333526007976796,0.0005489857478451882
222,FF,0.0005385687347732088,0,0.0014687486621287956,0.0012240950117372482,0,0
223,SIGN,0.0005359335379170931,0.002634250058843045,0,0,0,0.00004541763074242021
224,XNY,0.0005323635693549807,0,0.0010145590658248388,0,0.0008099057275337443,0.0008373530534163202
225,CHEEMS,0.0005109999217811033,0.0025549996089055164,0,0,0,0
226,ONE,0.0005067683368621718,0,0,0.00017073860661758332,0.0015841060240415164,0.0007789970536517594
227,NMR,0.0004994434479804289,0.002277756986331649,0,0.0002194602535704956,0,0
228,FLOW,0.0004965989355547334,0.002482994677773667,0,0,0,0
229,ASTS,0.0004943893436810198,0,0,0.0024719467184050985,0,0
230,MANTRA,0.0004903397144479235,0,0,0.0007987073555143663,0.001652991216725251,0
231,API3,0.0004902568003934853,0.0024512840019674264,0,0,0,0
232,T,0.00047948855275327975,0,0.0002130532629395641,0.0016805529028483888,0,0.0005038365979784456
233,ORDER,0.0004760735463530955,0,0,0,0.0013998336426939383,0.0009805340890715391
234,THE,0.000469408334348645,0,0.000497014176260595,0.0005897899370302422,0.0006582880183979691,0.0006019495400544187
235,CYS,0.0004691328176240319,0,0.0013690185836830358,0.0008296973649474835,0,0.00014694813948963996
236,MITO,0.00046555569997846466,0,0.0008372883664980849,0.0006320884646982793,0,0.0008584016686959591
237,SKY,0.00045450653997380745,0,0.001107861142277329,0.0011646715575917082,0,0
238,ID,0.00044702091714242316,0,0.0013885157898706868,0.0006998824651818605,0,0.00014670633065956817
239,DUSK,0.0004415006030284211,0.0022075030151421054,0,0,0,0
240,RED,0.00043921208867565967,0.00197930775941246,0,0,0,0.00021675268396583814
241,NFLX,0.0004332801419659588,0,0,0.002166400709829794,0,0
242,PORTO,0.0004314849386325677,0.0007452842346962514,0.00027514498426816215,0.0005248719414031132,0.00045822653414550544,0.0001538969986498061
243,EDEN,0.000429216002770922,0,0.001687544048638238,0,0.00027382324873966355,0.00018471271647670857
244,STRAX,0.0004263810387532762,0.0009551834479171133,0.0006183738867772771,0.00035459854656548696,0.00020374931250650343,0
245,ENJ,0.00042418297107448346,0.002120914855372417,0,0,0,0
246,ASML,0.00042065071134058594,0,0,0,0,0.0021032535567029297
247,MEGA,0.0004163874729101833,0,0,0.002081937364550916,0,0
248,ORCA,0.00041491366239063414,0.0020745683119531705,0,0,0,0
249,STRC,0.00041003127340688897,0,0,0.001093242632585084,0,0.0009569137344493607
250,FWDI,0.00040265676758317426,0,0,0,0.001520671948443476,0.000492611889472395
251,MOVR,0.00040053822459421175,0.0020026911229710587,0,0,0,0
252,VIC,0.0004003592092170137,0.001117735530440066,0.0008840605156450024,0,0,0
253,SAFE,0.00039597598735279275,0,0.000691983443335362,0,0,0.001287896493428602
254,AWE,0.00039453974099885436,0.0012141188789376765,0.00034662135308071004,0.00034526291572834584,0,0.00006669555724753923
